date,country_code,label,views
2023-02-17,CA,non-political,1773245
2023-02-17,CA,political,703851
2023-02-17,GB,No QID,1054
2023-02-17,GB,non-political,4489094
2023-02-17,GB,political,1556000
2023-02-17,IN,No QID,31261
2023-02-17,IN,non-political,7407257
2023-02-17,IN,political,2674511
2023-02-17,US,No QID,27925
2023-02-17,US,non-political,19916592
2023-02-17,US,political,7932245
2023-02-18,AU,No QID,414
2023-02-18,AU,non-political,1305695
2023-02-18,AU,political,419543
2023-02-18,CA,No QID,3465
2023-02-18,CA,non-political,1965843
2023-02-18,CA,political,689690
2023-02-18,GB,No QID,1138
2023-02-18,GB,non-political,5900386
2023-02-18,GB,political,1634849
2023-02-18,IN,No QID,34421
2023-02-18,IN,non-political,8220852
2023-02-18,IN,political,2731183
2023-02-18,US,No QID,5117
2023-02-18,US,non-political,20892258
2023-02-18,US,political,7560924
2023-02-19,AU,No QID,696
2023-02-19,AU,non-political,1314779
2023-02-19,AU,political,462236
2023-02-19,CA,No QID,3349
2023-02-19,CA,non-political,2197380
2023-02-19,CA,political,774866
2023-02-19,GB,No QID,1783
2023-02-19,GB,non-political,5422765
2023-02-19,GB,political,1819650
2023-02-19,IN,No QID,33679
2023-02-19,IN,non-political,8513987
2023-02-19,IN,political,2781315
2023-02-19,US,No QID,7098
2023-02-19,US,non-political,23409278
2023-02-19,US,political,8496661
2023-02-20,AU,No QID,277
2023-02-20,AU,non-political,1112840
2023-02-20,AU,political,458722
2023-02-20,CA,No QID,2454
2023-02-20,CA,non-political,2340256
2023-02-20,CA,political,774124
2023-02-20,GB,No QID,1305
2023-02-20,GB,non-political,4241480
2023-02-20,GB,political,1764482
2023-02-20,IN,No QID,32824
2023-02-20,IN,non-political,7428733
2023-02-20,IN,political,2748271
2023-02-20,US,No QID,27065
2023-02-20,US,non-political,22132696
2023-02-20,US,political,8456345
2023-02-21,AU,No QID,487
2023-02-21,AU,non-political,1046080
2023-02-21,AU,political,450538
2023-02-21,CA,No QID,2543
2023-02-21,CA,non-political,2001087
2023-02-21,CA,political,748902
2023-02-21,GB,No QID,1187
2023-02-21,GB,non-political,3938592
2023-02-21,GB,political,1645463
2023-02-21,IN,No QID,31783
2023-02-21,IN,non-political,7631147
2023-02-21,IN,political,2711393
2023-02-21,US,No QID,27569
2023-02-21,US,non-political,19254578
2023-02-21,US,political,8548303
2023-02-22,AU,No QID,351
2023-02-22,AU,non-political,998754
2023-02-22,AU,political,443378
2023-02-22,CA,No QID,2613
2023-02-22,CA,non-political,1688642
2023-02-22,CA,political,711975
2023-02-22,GB,No QID,1091
2023-02-22,GB,non-political,3889786
2023-02-22,GB,political,1625494
2023-02-22,IN,No QID,29681
2023-02-22,IN,non-political,6826364
2023-02-22,IN,political,2636604
2023-02-22,US,No QID,27429
2023-02-22,US,non-political,18404851
2023-02-22,US,political,8617735
2023-02-23,AU,No QID,316
2023-02-23,AU,non-political,1011846
2023-02-23,AU,political,426549
2023-02-23,CA,No QID,2668
2023-02-23,CA,non-political,1702816
2023-02-23,CA,political,720612
2023-02-23,GB,No QID,1222
2023-02-23,GB,non-political,3915698
2023-02-23,GB,political,1581671
2023-02-23,IN,No QID,32099
2023-02-23,IN,non-political,7182327
2023-02-23,IN,political,2685631
2023-02-23,US,No QID,26981
2023-02-23,US,non-political,18430270
2023-02-23,US,political,8820788
2023-02-24,AU,No QID,527
2023-02-24,AU,non-political,1161182
2023-02-24,AU,political,467489
2023-02-24,CA,No QID,2605
2023-02-24,CA,non-political,1697572
2023-02-24,CA,political,714359
2023-02-24,GB,No QID,1289
2023-02-24,GB,non-political,4286947
2023-02-24,GB,political,1600310
2023-02-24,IN,No QID,41340
2023-02-24,IN,non-political,7364497
2023-02-24,IN,political,2865944
2023-02-24,US,No QID,26615
2023-02-24,US,non-political,18510337
2023-02-24,US,political,9425364
2023-02-25,AU,No QID,806
2023-02-25,AU,non-political,1326834
2023-02-25,AU,political,440010
2023-02-25,CA,No QID,2543
2023-02-25,CA,non-political,1891493
2023-02-25,CA,political,686620
2023-02-25,GB,No QID,1219
2023-02-25,GB,non-political,5039446
2023-02-25,GB,political,1743008
2023-02-25,IN,No QID,44546
2023-02-25,IN,non-political,7860072
2023-02-25,IN,political,2716256
2023-02-25,US,No QID,3950
2023-02-25,US,non-political,20237414
2023-02-25,US,political,7841267
2023-02-26,AU,No QID,849
2023-02-26,AU,non-political,1380290
2023-02-26,AU,political,490560
2023-02-26,CA,No QID,2502
2023-02-26,CA,non-political,2216336
2023-02-26,CA,political,736005
2023-02-26,GB,No QID,1072
2023-02-26,GB,non-political,5234095
2023-02-26,GB,political,1828752
2023-02-26,IN,No QID,46388
2023-02-26,IN,non-political,8010842
2023-02-26,IN,political,2751164
2023-02-26,US,No QID,3556
2023-02-26,US,non-political,22230580
2023-02-26,US,political,8240846
2023-02-27,AU,No QID,704
2023-02-27,AU,non-political,1116841
2023-02-27,AU,political,476308
2023-02-27,CA,No QID,3300
2023-02-27,CA,non-political,2061686
2023-02-27,CA,political,758755
2023-02-27,GB,No QID,1060
2023-02-27,GB,non-political,4185925
2023-02-27,GB,political,1787459
2023-02-27,IN,No QID,36170
2023-02-27,IN,non-political,7157116
2023-02-27,IN,political,2752231
2023-02-27,US,No QID,8456
2023-02-27,US,non-political,21136495
2023-02-27,US,political,8721784
2023-02-28,AU,No QID,724
2023-02-28,AU,non-political,1031707
2023-02-28,AU,political,438708
