date,country,country_code,project,page_id,article,qid,views,description,label
2023-02-06,Australia,AU,en.wikipedia,19980263,Margot_Robbie,Q1924847,299,Australian actress (b. 1990),non-political
2023-02-06,Australia,AU,en.wikipedia,28786805,Karl_Stefanovic,Q6372275,90,Australian television presenter and journalist (born 1974),non-political
2023-02-06,Australia,AU,en.wikipedia,44059,Harrison_Ford,Q81328,367,American actor (born 1942),non-political
2023-02-06,Australia,AU,en.wikipedia,46823,George_V,Q269412,125,"King of the United Kingdom and the British Dominions, and Emperor of India (1865–1936)",political
2023-02-06,Australia,AU,en.wikipedia,52382,Watergate_scandal,Q42761,97,political scandal that occurred in the United States (1972–1974),political
